"","pe1","pe2","pe3","pe4","ee1","ee2","ee3","ee4","sn1","sn2","sn3","fc1","fc2","fc3","bi1","bi2","bi3","use1","use2","use3","use4"
"35",7,7,7,7,7,7,6,6,7,7,7,6,3,5,6,6,7,5,6,4,7
"36",7,7,7,7,7,7,6,7,4,4,4,7,7,7,2,7,6,5,6,5,9
"37",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,5,6
"38",7,7,6,6,5,6,6,6,5,5,6,6,6,6,7,5,6,6,6,5,5
"39",7,4,4,4,7,5,7,7,5,5,6,7,4,3,7,7,6,4,6,3,2
"40",7,7,7,7,7,7,7,7,4,4,6,7,1,2,5,7,1,1,1,2,1
"41",2,2,3,4,7,5,6,6,1,1,3,4,4,4,6,6,4,4,5,3,1
"42",6,6,6,7,5,5,6,6,3,3,4,5,5,6,7,7,6,5,6,5,7
"43",7,7,7,6,7,5,7,7,4,4,4,5,3,3,4,5,7,6,4,3,2
"44",7,7,7,7,7,6,6,7,7,7,6,6,6,7,7,5,7,6,5,4,1
"45",6,6,6,6,5,5,5,5,5,5,5,4,6,6,5,6,5,6,6,4,5
"46",7,7,6,7,6,7,7,6,5,5,7,2,6,1,6,5,7,6,6,1,1
"47",7,7,7,4,4,4,4,5,5,1,1,2,4,5,3,3,1,1,1,2,1
"48",7,7,7,7,7,6,7,7,7,4,7,7,7,6,7,7,6,6,6,2,1
"49",7,7,6,7,4,5,5,4,5,5,5,7,6,6,5,7,5,6,6,4,5
"50",7,7,7,7,7,7,7,7,5,5,7,7,1,4,7,7,7,6,5,3,5
"51",7,7,7,7,7,6,6,7,7,7,7,7,7,6,7,6,6,6,5,4,4
"52",7,7,7,7,7,5,5,7,4,5,7,7,3,2,7,7,5,6,5,2,5
"53",6,5,6,7,5,6,6,6,5,5,5,6,5,6,6,6,6,5,6,3,4
"54",6,4,5,3,7,7,6,6,6,4,4,6,6,6,6,5,7,6,6,3,2
"55",7,7,7,7,6,5,6,6,6,6,6,3,5,5,5,5,7,6,6,3,1
"56",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,4,5,2,2
"57",7,7,7,7,7,5,5,3,5,6,5,6,6,7,7,7,5,5,6,5,8
"58",7,7,7,7,7,7,6,7,6,7,7,6,6,7,6,5,7,4,6,1,2
"59",7,6,6,7,5,6,5,6,2,2,2,3,5,6,6,5,6,5,6,2,1
"60",6,6,7,7,7,6,6,6,6,6,6,6,4,6,6,6,7,6,5,3,1
"61",7,7,7,7,7,7,7,7,6,4,6,5,4,5,6,6,7,4,3,3,1
"62",7,7,6,7,7,6,7,7,6,6,7,6,5,6,7,5,6,4,6,3,1
"63",7,7,7,7,6,7,6,6,4,4,4,6,7,1,7,7,7,6,5,3,3
"64",6,6,7,7,6,6,7,7,6,6,6,6,7,5,4,7,6,6,6,4,6
"65",7,7,7,7,7,4,6,7,4,4,4,6,4,5,7,6,7,6,6,1,1
"66",7,6,7,6,7,7,7,7,4,4,6,7,4,3,7,7,6,6,6,5,9
"67",7,7,7,4,6,6,3,5,5,5,6,4,5,6,7,4,6,3,6,1,1
"68",6,7,7,7,7,7,7,7,2,2,2,7,7,3,7,7,4,6,6,5,6
"69",7,7,7,7,6,6,6,6,6,7,7,4,6,6,7,6,6,4,6,1,1
"70",5,7,7,7,7,7,7,6,5,7,5,6,5,4,5,4,7,6,6,3,3
"71",7,7,7,7,6,4,7,6,7,7,7,3,7,7,7,7,6,6,5,3,4
"72",7,6,6,7,7,7,7,7,7,7,7,7,7,4,7,5,7,1,4,2,1
"73",7,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,7,6,5,5,8
"74",7,7,7,7,6,5,7,6,6,5,7,6,5,5,6,7,7,4,6,2,4
"75",6,6,6,5,6,6,6,7,7,7,7,4,4,5,5,6,6,4,6,5,1
"76",7,7,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7,6,6,3,1
"77",7,7,7,3,5,5,6,6,7,7,7,1,3,2,7,5,3,1,1,1,0
"78",7,7,7,7,7,7,7,7,7,7,7,7,4,4,7,4,7,4,6,2,2
"79",7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,6,6,5,11
"80",7,7,4,7,5,4,2,5,4,4,4,6,5,6,5,4,7,5,5,1,1
"81",7,7,7,7,6,5,6,7,6,5,6,6,5,5,5,3,6,4,6,4,3
"82",7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,6,6,5,4
"83",6,5,5,5,7,5,5,6,4,5,6,6,4,6,7,4,6,4,6,3,9
"84",7,5,7,4,5,6,3,7,5,4,5,6,5,5,6,6,6,3,5,3,4
"85",7,7,7,7,7,7,6,6,7,7,7,7,7,2,6,7,6,6,6,5,1
"86",6,6,5,5,3,2,3,3,3,3,3,5,5,5,5,6,2,5,6,5,3
"87",7,6,6,7,6,5,5,6,1,1,1,6,5,4,6,6,6,6,6,4,1
"88",7,7,7,4,7,7,7,7,7,7,7,7,5,4,7,6,7,2,6,1,2
"89",5,4,4,6,5,4,5,3,6,6,6,5,4,2,7,7,2,2,4,2,2
"90",7,7,7,7,7,7,6,7,4,4,4,7,7,6,7,7,6,6,6,5,7
"91",4,4,5,5,6,3,5,5,1,1,1,6,1,2,6,4,1,2,4,1,2
"92",7,6,7,7,5,7,4,5,7,7,7,6,7,7,7,7,5,6,6,1,1
"93",7,6,6,6,6,5,5,5,4,4,5,6,6,4,6,7,6,5,6,3,3
"94",7,7,7,7,5,6,6,5,7,6,5,4,5,2,5,5,6,5,6,2,2
"95",4,4,5,5,6,4,4,5,3,4,4,5,4,5,4,6,6,3,4,2,3
"96",7,7,7,7,5,5,5,5,4,4,4,5,5,3,4,4,5,4,6,3,4
"97",4,6,5,6,6,5,6,7,6,5,6,6,4,3,7,6,7,6,6,3,1
"98",6,6,6,6,7,6,6,6,6,6,6,6,6,5,7,7,7,6,6,5,6
"99",7,7,7,7,7,7,6,7,6,6,6,6,7,7,7,6,7,5,6,4,3
"100",7,7,6,7,6,6,5,2,6,6,4,3,3,3,6,6,5,2,4,3,2
"101",2,2,2,4,3,3,3,3,4,5,5,5,5,4,6,5,2,6,6,5,2
"102",6,5,6,4,7,4,6,7,7,7,7,5,4,6,6,7,7,6,6,2,3
"103",6,7,6,4,4,4,6,7,7,1,7,6,7,4,7,6,5,6,6,3,5
"104",6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,3,4
"105",7,7,7,7,7,7,7,7,7,7,7,7,4,6,6,6,7,4,5,2,2
"106",7,6,6,6,5,7,6,5,6,5,5,6,6,6,7,7,6,5,6,4,5
"107",7,7,7,7,7,7,7,7,7,7,7,7,1,5,7,6,7,6,6,3,3
"108",7,7,7,7,5,6,5,6,7,7,7,2,7,4,6,4,6,2,4,2,1
"109",4,6,7,7,5,5,6,5,6,6,7,4,4,5,6,6,4,2,5,2,2
"110",7,7,7,7,7,7,7,7,6,6,6,7,7,7,6,6,7,2,4,4,4
"111",7,6,7,7,6,7,6,6,5,5,5,6,6,4,5,6,7,4,6,3,3
"112",7,6,7,7,7,6,7,6,6,6,6,6,7,4,7,7,7,4,6,3,7
"113",7,6,6,7,6,4,5,5,6,7,7,6,6,6,5,4,5,4,4,2,1
"114",7,7,7,7,7,7,7,7,7,6,3,5,7,5,7,7,7,6,6,4,6
"115",7,7,7,6,7,6,6,6,7,5,5,7,5,5,6,7,6,6,6,5,10
"116",7,6,6,6,6,6,6,7,6,5,5,6,4,6,6,7,5,4,4,3,3
"117",7,6,6,7,7,4,4,5,4,5,6,3,3,4,7,7,7,3,4,2,2
"118",7,7,7,7,5,7,5,5,7,7,5,7,5,1,7,7,5,4,5,3,3
"119",6,6,6,6,6,4,5,5,5,5,4,7,5,4,6,5,5,3,6,3,1
"120",7,7,7,7,1,2,2,1,2,6,7,3,2,1,7,3,4,2,4,2,2
"121",7,7,7,7,7,7,7,7,6,6,6,7,3,2,7,7,7,6,6,5,4
"122",6,4,1,6,6,4,5,5,1,1,1,2,4,6,5,1,3,1,1,0,0
"123",6,7,7,7,7,5,7,5,6,6,6,6,4,4,6,6,6,4,5,2,2
"124",4,7,3,2,7,4,3,7,7,7,4,4,4,3,7,7,1,6,6,2,2
"125",7,7,7,7,6,4,6,6,4,4,4,7,7,6,7,7,5,6,6,5,2
"126",7,7,7,7,7,7,6,6,4,4,4,4,5,3,7,7,7,6,6,5,5
"127",7,7,7,6,5,6,6,7,6,6,5,6,4,5,6,5,6,6,6,3,3
"128",7,6,7,7,7,6,7,7,6,6,7,7,4,4,7,7,6,6,6,3,8
"129",7,7,7,7,4,4,4,7,7,7,7,4,1,2,5,4,5,6,6,2,1
"130",7,7,7,7,6,7,6,7,6,6,6,7,6,6,5,7,7,6,6,5,6
"131",5,7,6,7,7,5,6,7,5,6,6,7,4,6,7,7,5,3,6,2,2
"132",7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,7,7,6,6,4,6
"133",6,6,6,6,6,6,6,6,7,7,7,7,7,5,7,7,6,6,6,3,5
"134",7,6,6,3,4,3,4,3,4,3,4,5,3,4,4,4,3,3,5,1,2
"135",7,7,7,6,6,6,6,6,6,6,6,7,6,4,6,7,6,5,6,3,3
"136",6,6,6,6,6,6,4,5,6,6,6,6,7,6,6,7,6,6,6,4,6
"137",6,7,6,6,5,5,7,6,6,6,6,6,6,5,7,4,6,5,5,2,2
"138",6,6,7,7,7,7,7,6,4,7,7,7,7,6,7,7,7,6,6,5,4
"139",6,5,6,6,7,6,7,7,5,5,5,5,6,6,4,4,6,4,6,4,4
"140",7,6,6,6,7,6,6,6,6,5,7,6,1,2,7,7,1,5,6,5,4
"141",7,6,6,6,7,6,6,7,7,7,7,6,1,5,7,6,6,4,5,3,3
"142",2,4,1,5,2,5,5,3,2,2,1,6,2,2,5,2,2,3,6,1,1
"143",7,4,5,4,2,5,4,3,7,5,6,3,4,6,6,6,4,2,5,1,2
"144",6,6,6,6,5,5,5,5,6,6,6,6,5,5,6,6,5,6,6,2,3
"145",7,7,7,7,7,7,7,7,4,4,4,7,7,7,4,4,7,5,6,3,2
"146",7,4,5,6,7,3,6,4,6,5,4,6,3,1,7,5,3,5,4,1,2
"147",5,5,4,6,6,5,5,6,3,2,3,5,6,4,6,7,4,6,6,5,4
"148",7,6,6,6,7,7,6,7,6,6,6,6,3,3,6,7,7,6,6,5,5
"149",7,7,7,6,6,5,7,5,7,7,7,7,7,5,7,7,7,6,6,3,2
"150",6,5,7,6,6,6,6,6,4,4,5,5,7,6,6,7,6,4,5,3,3
"151",5,7,7,7,7,5,4,5,5,5,5,6,7,7,6,6,7,6,6,1,2
"152",7,7,7,7,7,7,7,7,7,7,7,5,7,2,7,6,7,2,3,3,2
"153",6,6,6,5,6,7,6,7,4,4,6,7,5,6,6,6,7,5,6,3,6
"154",5,5,4,5,6,6,5,6,5,5,6,6,4,3,6,6,4,1,4,1,2
"155",5,5,5,4,6,3,6,6,5,5,4,6,5,6,6,6,6,4,5,1,1
"156",7,5,5,7,7,6,7,7,3,3,3,7,7,4,4,6,7,3,5,1,2
"157",7,7,6,7,3,5,5,3,5,6,6,5,1,1,4,5,5,6,5,5,2
"158",7,7,7,7,7,7,7,7,7,7,7,7,5,1,7,7,7,1,1,5,2
"159",7,7,7,7,1,4,5,5,4,4,4,4,1,4,4,5,1,6,4,2,2
"160",7,7,6,6,7,7,7,7,7,7,7,7,6,6,4,7,6,6,6,5,2
"161",5,5,5,5,4,4,4,4,4,1,5,5,2,1,4,5,5,4,4,3,2
"162",7,6,3,6,7,7,7,7,2,2,5,5,7,4,7,4,4,1,2,1,2
"163",7,7,7,7,7,7,7,7,4,4,4,7,6,6,7,7,7,6,6,5,10
"164",7,6,6,7,5,6,7,5,4,3,5,4,3,4,7,4,4,4,5,1,1
"165",4,7,7,7,4,3,4,4,4,4,7,6,1,1,7,7,4,6,6,3,6
"166",7,7,7,7,6,4,6,6,6,7,7,6,4,4,7,5,6,4,6,3,2
"167",7,7,7,7,6,7,5,5,2,2,2,7,7,6,7,7,7,4,6,3,2
"168",7,7,7,7,6,5,5,5,6,6,6,6,2,4,6,7,6,5,6,3,4
"169",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,8
"170",7,7,7,6,7,7,7,7,6,6,6,7,6,7,7,7,5,5,6,5,7
"171",7,7,6,5,4,6,5,4,5,4,5,4,5,4,4,6,6,5,6,5,4
"172",7,7,6,6,6,6,6,7,7,7,7,6,7,5,7,4,6,3,3,3,1
"173",1,1,1,1,1,2,1,1,3,3,5,1,1,5,1,7,2,6,6,2,3
"174",7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,6,6,5,2
"175",7,7,7,7,7,6,6,6,7,7,7,7,5,5,7,7,6,6,6,3,5
"176",7,7,7,7,6,6,7,6,7,7,7,6,6,6,6,6,6,5,6,3,9
"177",7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,7,7,4,6,4,5
"178",6,6,5,6,5,4,4,5,5,5,6,4,6,7,5,6,5,5,6,4,5
"179",6,4,5,6,5,5,6,6,6,6,6,5,4,5,5,6,6,3,3,2,3
"180",7,7,5,6,7,7,7,7,4,4,4,7,4,5,7,6,7,5,5,3,1
"181",7,7,7,7,7,7,7,7,7,7,7,7,4,2,6,5,7,6,6,4,3
"182",6,6,6,7,6,6,6,6,6,6,6,6,6,5,7,6,6,5,6,5,7
"183",6,6,6,6,7,7,7,7,3,3,6,7,7,3,6,2,3,5,5,4,3
"184",7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,6,6,2,6
"185",4,5,5,6,5,5,6,6,4,4,6,4,4,4,7,6,2,6,5,3,4
"186",6,6,6,6,4,4,4,5,4,5,5,5,5,7,4,6,5,6,6,3,3
"187",5,6,6,7,4,4,4,4,3,4,4,6,7,6,6,6,5,5,6,5,4
"188",7,6,6,6,6,7,7,7,6,6,7,7,7,7,7,6,7,5,6,3,7
"189",6,6,7,7,7,6,6,6,5,6,5,6,5,6,6,6,7,3,4,4,5
"190",7,7,7,7,7,7,4,7,7,7,7,4,7,6,7,5,7,2,3,1,2
"191",7,6,4,6,4,4,6,5,6,7,7,6,1,1,7,7,4,1,3,4,3
"192",6,4,6,6,6,5,5,6,7,7,7,7,6,5,7,7,5,6,4,4,2
"193",6,7,6,6,6,5,4,4,7,7,7,6,4,2,7,4,6,6,4,2,1
"194",7,7,7,7,4,6,6,5,5,7,5,4,5,1,6,4,6,5,6,2,1
"195",7,7,4,7,7,7,7,7,4,4,7,7,7,1,7,3,7,2,5,2,1
"196",7,7,7,7,7,7,7,7,1,1,1,7,1,7,7,7,7,2,6,3,3
"197",7,7,7,7,7,6,5,7,4,1,4,7,7,6,5,4,4,1,4,1,3
"198",7,7,7,6,5,3,5,6,5,6,7,5,1,1,3,4,6,3,3,2,1
"199",7,7,7,7,7,7,7,7,3,3,3,7,4,2,7,7,7,6,6,3,5
"200",6,6,5,5,7,7,7,7,6,4,4,7,4,4,6,5,4,4,6,4,7
"201",5,5,3,4,4,5,4,4,4,5,4,3,4,5,5,4,3,5,6,3,1
"202",3,2,3,2,3,3,3,3,1,2,1,2,1,2,2,6,2,5,5,3,5
"203",7,7,7,7,7,6,6,6,6,5,7,6,5,5,7,4,6,3,5,3,5
"204",6,7,7,7,7,5,7,7,6,5,7,7,3,4,7,7,6,6,6,4,5
"205",6,7,6,7,6,2,6,6,4,3,3,4,6,6,4,6,4,7,6,2,6
"206",4,4,4,2,3,2,3,3,4,4,4,2,1,4,3,2,2,1,1,1,1
"207",7,7,7,7,7,2,7,7,7,7,7,2,2,2,7,6,4,1,5,2,1
"208",7,6,6,5,6,6,4,5,5,5,5,5,1,1,4,7,5,4,6,5,3
"209",7,7,7,7,7,5,6,6,7,7,7,7,4,7,7,7,1,3,6,1,2
"210",7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,5,8
"211",7,7,7,5,6,6,5,5,3,3,4,6,1,2,7,5,4,3,5,3,2
"212",7,7,6,7,5,6,6,6,6,6,6,6,5,3,6,5,6,4,6,3,1
"213",5,6,6,6,6,5,6,6,4,4,4,6,6,6,7,7,6,6,6,3,5
"214",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,4
"215",7,7,7,7,7,7,7,7,3,3,7,4,6,5,7,6,7,6,6,4,2
"216",7,7,7,7,7,6,7,7,5,6,6,7,7,7,7,7,7,6,6,5,7
"217",7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,4,1
"218",7,7,7,7,5,5,5,5,7,7,7,5,5,6,5,7,4,4,6,1,2
"219",6,5,7,7,7,7,7,7,7,6,2,7,7,7,7,7,5,6,6,5,10
"220",5,7,7,5,7,7,7,5,7,7,7,5,1,1,7,6,5,5,5,3,3
"221",7,7,7,7,6,4,4,6,7,7,7,7,7,4,7,4,6,2,5,1,1
"222",6,5,5,7,4,2,2,3,6,4,6,3,3,6,5,6,5,2,5,2,1
"223",7,7,6,7,6,7,6,6,6,6,6,2,5,4,6,6,4,1,6,4,3
"224",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,6
"225",7,7,7,7,6,7,7,7,6,6,6,7,6,4,7,7,6,6,6,5,4
"226",7,5,6,7,4,5,6,4,5,4,4,4,6,6,7,6,6,5,6,2,4
"227",7,7,7,7,6,7,6,7,6,6,5,7,7,7,7,7,7,6,6,5,4
"228",6,6,6,5,5,7,7,7,7,6,7,7,6,5,7,6,6,3,5,2,2
"229",1,3,4,6,3,4,5,5,5,5,6,3,1,3,5,5,7,4,2,3,1
"230",6,7,6,7,7,7,7,7,3,2,7,6,5,1,7,7,6,3,2,2,2
"231",7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,6,6,5,4
"232",6,7,6,7,7,7,6,5,5,5,3,6,5,3,3,7,7,5,4,4,3
"233",7,7,7,7,4,7,7,4,7,7,7,7,7,6,7,5,7,5,6,3,3
"234",5,6,6,7,7,6,7,7,7,7,7,7,7,7,7,6,7,6,6,1,1
"235",6,6,5,5,5,4,3,4,6,6,5,2,5,6,5,4,4,3,4,2,2
"236",7,5,6,6,6,6,6,6,6,4,6,7,4,5,6,7,6,2,6,5,2
"237",7,7,7,7,7,5,7,7,7,7,7,7,5,5,4,3,6,2,5,2,3
"238",7,7,7,7,6,7,6,6,7,7,7,7,6,6,7,7,7,6,6,3,4
"239",2,4,2,4,6,2,4,4,3,2,3,6,2,1,6,5,7,6,4,4,4
"240",7,6,6,4,4,4,6,4,3,5,7,6,5,7,6,4,7,4,1,2,1
"241",7,7,7,7,7,7,7,7,5,4,7,6,3,2,7,7,7,4,5,3,3
"242",7,7,7,6,6,6,6,5,6,6,6,6,7,6,6,5,7,4,5,2,2
"243",5,6,5,5,5,5,6,6,5,5,5,5,5,5,6,6,6,6,6,2,1
"244",6,6,6,6,4,4,4,4,6,6,6,6,6,5,6,6,4,4,6,3,7
"245",5,5,5,5,6,4,6,6,4,4,4,7,7,6,7,7,5,6,6,4,6
"246",7,7,7,7,7,7,7,7,7,7,7,5,7,6,7,7,7,6,6,3,4
"247",7,7,7,7,7,6,7,6,7,7,7,5,6,7,7,7,7,6,6,3,7
"248",7,7,7,7,7,7,7,7,1,1,1,7,7,5,7,7,7,6,6,5,8
"249",7,7,5,5,6,3,5,6,3,6,5,6,6,6,7,4,5,5,6,1,1
"250",7,7,7,7,6,7,6,6,5,6,7,6,4,5,7,5,7,6,6,2,3
"251",7,6,6,5,5,1,4,4,7,7,7,6,7,5,6,6,7,1,1,2,4
"252",7,7,7,7,6,5,6,6,5,7,5,5,4,1,6,5,4,6,6,2,1
"253",7,7,7,7,7,7,7,7,1,1,4,7,1,1,7,7,7,6,6,4,4
"254",4,6,4,6,6,5,6,6,6,6,6,7,6,6,6,7,4,6,5,4,4
"255",7,7,7,7,7,7,7,7,7,7,7,7,5,5,7,6,6,4,6,1,1
"256",7,7,5,7,5,5,4,4,7,7,7,5,3,3,7,7,3,5,6,3,8
"257",7,5,7,6,7,7,6,7,3,4,6,7,7,1,7,5,5,6,6,3,3
"258",5,6,6,6,5,5,4,5,3,3,3,6,5,5,4,3,4,1,4,3,1
"259",7,7,4,5,4,5,4,4,5,7,7,6,6,7,5,6,5,6,6,4,4
"260",5,6,6,6,7,5,6,6,6,6,7,6,7,6,6,5,7,4,5,2,3
"261",7,7,7,7,7,7,6,6,6,6,6,6,7,6,7,7,6,6,6,5,11
"262",7,7,7,7,7,7,6,7,6,4,6,4,4,7,7,7,7,5,6,6,2
"263",6,6,6,6,7,7,7,7,5,5,5,6,6,6,6,5,6,4,5,3,5
"264",7,5,5,6,6,6,6,6,3,3,4,7,6,4,7,7,5,6,6,5,10
"265",7,7,7,5,7,7,7,7,7,7,7,7,7,5,7,4,6,2,6,2,2
"266",7,7,7,7,7,7,7,7,7,7,7,7,1,5,7,7,1,6,6,3,2
"267",7,7,7,7,7,4,4,4,6,5,7,4,6,6,7,6,6,4,6,2,1
"268",6,7,6,5,6,5,6,6,4,4,4,6,7,4,6,6,5,5,6,3,5
"269",7,6,6,6,7,6,7,7,7,7,7,6,3,4,7,6,7,6,6,4,6
"270",7,5,7,6,7,6,7,7,5,4,6,6,3,1,6,7,6,4,5,1,2
"271",5,6,6,6,5,6,5,5,5,5,6,6,1,2,7,7,6,5,5,3,4
"272",7,7,7,7,7,7,7,7,6,6,6,7,7,5,7,7,7,6,6,4,1
"273",7,7,7,7,7,7,6,7,4,4,4,7,5,5,7,6,7,6,6,3,2
"274",7,7,7,7,6,6,5,5,7,7,7,7,2,5,7,5,7,3,5,2,3
"275",7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,6,6,5,8
"276",7,4,7,7,3,3,1,4,4,5,6,4,1,1,5,3,3,2,3,3,2
"277",7,7,7,7,6,6,6,6,4,4,5,6,5,4,6,7,5,3,5,5,5
"278",7,5,5,7,7,6,7,7,5,6,6,7,7,6,7,6,4,6,6,4,5
"279",7,7,7,6,4,4,4,4,5,5,5,7,5,4,7,7,6,5,3,5,6
"280",6,5,5,5,5,4,5,5,4,5,5,5,5,7,7,4,4,3,5,1,1
"281",7,7,7,7,6,7,6,6,6,6,6,6,5,5,6,6,6,6,6,2,3
"282",7,7,7,6,6,5,7,5,7,7,7,7,7,5,7,7,7,6,6,3,2
"283",7,5,6,4,6,4,6,6,5,4,6,5,1,4,4,4,5,2,4,2,2
"284",7,7,7,7,4,4,7,7,7,7,7,7,4,6,7,5,7,5,3,2,3
"285",7,7,7,7,5,6,7,5,4,4,6,7,6,5,7,7,7,4,4,5,6
"286",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,4,3
"287",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,9
"288",7,7,7,7,5,5,4,4,5,5,5,4,4,4,6,3,4,1,2,1,1
"289",4,6,6,6,5,7,7,7,5,6,7,7,7,1,7,2,7,4,2,1,1
"290",6,6,5,7,6,5,5,5,5,4,5,5,6,5,6,5,7,4,6,2,2
"291",7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,5,6,5,5
"292",1,7,7,7,1,4,1,1,1,4,4,7,7,4,7,7,7,1,1,1,1
"293",7,7,7,7,5,6,6,5,6,6,7,6,7,7,7,7,7,6,6,4,6
"294",5,5,7,7,5,4,5,4,2,3,2,6,4,3,5,3,2,3,5,2,1
"295",7,7,7,4,5,7,5,6,4,4,5,7,6,6,7,7,7,6,6,3,8
"296",3,1,1,2,2,1,2,2,3,2,2,3,2,1,3,4,2,6,5,3,2
"297",7,7,7,7,6,6,6,7,4,4,4,6,7,7,7,6,7,6,6,3,4
"298",7,7,5,4,7,5,6,7,6,6,6,1,1,3,4,7,7,1,1,1,1
"299",7,7,4,7,6,4,5,5,4,4,5,6,2,4,6,5,5,5,6,3,3
"300",6,6,6,5,6,5,5,5,4,5,5,6,4,6,5,5,5,3,4,4,4
