num,HS_GPA,SAT_Verbal,SAT_Math,EcolEvol,GenChemistry,Calculus1,Physics1,CellBiology,OrgChemistry,Calculus2,Physics2,FinalGPA,Gender
65,4.53,670,700,3.4,4,4,4,4,4,4,3.7,3.848,FEMALE
66,4.6,710,700,4,4,4,4,4,3.7,4,3.7,3.959,FEMALE
67,4,630,670,3,4,3,3,3,3,4,3.4,3.504,FEMALE
68,4.31,470,610,2.4,3,2.7,2.4,2.7,1.7,2.4,3,2.476,FEMALE
69,4.42,640,730,3.4,3,2.4,3,4,3,4,2.4,3.509,FEMALE
70,4.4,610,690,3.7,3.4,3.4,4,3,3,2,4,3.582,MALE
71,4.71,720,720,3,3,3.4,2,2.4,2.4,3,3,3.197,FEMALE
72,3.9,640,780,2.4,3,3.4,1.7,1.4,2,2,2,3.077,FEMALE
73,4.16,640,790,3.4,3.4,4,4,4,4,4,4,3.84,FEMALE
74,4.53,700,710,3,3,3.4,3,2,2.7,2.4,2.4,3.278,FEMALE
75,4.3,680,730,3,4,4,3.7,4,4,4,4,3.883,FEMALE
76,4.32,500,800,3,3.4,4,3,1,3,3.7,3,3.443,FEMALE
77,4.26,630,700,3.7,2.4,3,2.7,2,2,2.7,3,3.193,MALE
78,4.42,660,670,4,3.7,0.7,4,4,3.4,4,3.4,3.814,FEMALE
79,4.63,660,720,3,2.7,2.7,3,2.7,2.4,3.7,2,2.976,FEMALE
80,4.18,600,680,3.7,3,3.7,3.7,2.4,2.7,4,2,3.082,MALE
81,4.38,520,700,3.7,4,4,4,4,4,4,4,3.916,MALE
82,4.36,670,640,3.7,3,0,3.4,3.7,2.7,2.4,3.7,3.636,MALE
83,4.54,700,700,3.4,2.4,2.4,2.7,0.7,1.7,1,2,2.822,MALE
84,4.5,590,780,2,2.7,3,3,1.7,2.7,3,2.7,3.057,FEMALE
85,4.71,680,800,3,4,4,3.7,3.4,3,4,4,3.608,FEMALE
86,4.47,640,800,3.4,2.7,2.4,2.7,1.7,1.7,1.7,2.4,2.768,FEMALE
87,4.47,640,800,3.4,2.7,2.4,2.7,1.7,1.7,1.7,2.4,2.768,FEMALE
88,4.19,610,640,3,2.7,2,2.7,2,1.7,2,3,2.916,FEMALE
89,4.31,570,660,3,2.7,3,3,3,3.4,4,3.7,3.54,FEMALE
90,4.31,570,660,3,2.7,3,3,3,3.4,4,3.7,3.54,FEMALE
91,4.75,560,590,3.4,2.7,3,3,4,3.4,3,3.4,3.574,FEMALE
92,4.65,760,660,4,4,4,4,4,4,4,4,3.957,FEMALE
93,4,580,690,2.4,2.4,2.4,2,1,1.4,2.4,2.7,2.68,FEMALE
94,4.2,660,680,3.4,2.4,3.4,3.7,3,1.7,1.7,3.7,3.417,FEMALE
95,4.54,630,790,3.7,3.4,3.7,4,4,3,4,3.7,3.728,MALE
96,4.5,550,610,4,2.7,2,2.4,3,2.4,3.7,3,3.483,FEMALE
97,4.26,550,610,4,3.4,3,3,3,2.4,2.4,2.4,3.356,FEMALE
98,4.4,730,710,3.4,3,3,2.4,2,1.7,2.7,3,3.081,MALE
99,4.41,770,760,3.7,4,4,4,4,4,4,4,3.836,FEMALE
100,4.43,700,780,3.7,3.7,4,4,4,4,3,4,3.907,FEMALE
101,4.5,660,650,4,3.7,4,4,4,3,3.4,4,3.804,FEMALE
102,4.3,520,590,3.4,3.4,2.7,3,3,2.7,2.7,4,3.412,MALE
103,4.34,660,800,3.7,4,3.7,4,4,4,4,4,3.756,MALE
104,4.35,670,710,3.4,3.4,4,3,2,2.7,3.7,3,3.196,MALE
105,4.29,680,680,3,3.4,3,3,3.4,3.7,3.7,3.4,3.583,FEMALE
106,4.33,710,760,3,3.4,3,3.4,3.4,1.7,2.4,3.4,3.26,FEMALE
107,4.27,600,660,3,2.4,2.7,2,2,1,2,2.7,3.12,FEMALE
108,4.5,600,700,3.7,2,2.7,2,2,2.4,2,2.4,2.626,MALE
109,4.15,600,690,3.7,3,4,3.4,4,4,3,4,3.695,MALE
110,4.31,730,690,3,3.4,3,3.4,2,1.7,3,4,3.228,MALE
111,4.39,660,800,4,3.4,3.7,4,4,3,4,3.7,3.868,MALE
112,4.36,670,750,3.7,3,3.7,3,3,3,3.7,2.4,3.583,MALE
113,4.25,600,610,3,3.4,3.7,4,3,3.4,3.7,3.7,3.693,MALE
114,4.26,570,680,4,3.4,3.7,3,2.7,3.4,2.4,4,3.448,MALE
115,4.12,490,570,3,2.7,0,3,3,3.4,3.7,3.4,3.529,FEMALE
116,4.12,490,570,3,2.7,0,3,3,3.4,3.7,3.4,3.529,FEMALE
117,4.31,540,690,2,3.7,3.4,3.4,2.7,4,4,3.7,3.332,MALE
118,4.46,530,770,3.4,4,4,4,4,3,4,4,3.669,FEMALE
119,4,550,680,3,3.4,3,3,3,3,3,3.4,3.162,FEMALE
120,4.27,730,670,4,3.4,4,3,2,4,3.4,3.7,3.457,FEMALE
121,4.18,540,680,4,3.7,4,3.4,4,4,3.4,3.7,3.589,MALE
122,4.62,640,800,4,4,4,4,3.4,3.4,4,3.7,3.873,FEMALE
123,4.41,610,690,4,3,3.4,4,4,4,3.4,4,3.805,MALE
124,4.18,590,690,2.7,3.7,3.4,3,1.7,3,2.4,3.4,3.098,MALE
125,4.27,600,610,2,3,4,3.7,2.4,2.7,3,3,3.321,FEMALE
126,4.2,550,590,3,2.4,3,2,2,2.4,2.4,3,3.073,FEMALE
127,4.28,450,610,2.4,3,3,4,3,3.4,3,2.7,3.249,FEMALE
128,4.18,640,690,3.4,3,3,3.7,3,3,3.7,3.7,3.656,FEMALE
129,4.25,640,690,3.4,3,3.7,4,3,3.7,2.7,4,3.748,FEMALE
130,4.3,650,730,2,3.4,4,3,2,2,2,3,3.152,FEMALE
131,4.25,680,610,2.7,2.4,1,1,1,2.4,2.7,2,2.824,FEMALE
132,4.33,670,790,3.4,3.4,3,2.7,2.7,3,2.4,2.4,2.867,MALE
133,4.45,560,630,4,3,4,3,2.4,2.4,2.4,3.4,3.493,FEMALE
134,4.45,560,630,4,3,4,3,2.4,2.4,2.4,3.4,3.493,FEMALE
135,4.45,590,610,3,2.4,1.7,2.7,1.7,2.4,3,2,2.874,MALE
136,4.08,500,800,2.4,2.4,3,2.7,2,1.7,3,2,2.67,FEMALE
137,4.44,670,720,3.4,3.4,4,3.7,4,3,4,3,3.764,MALE
138,4.3,660,800,3.4,4,4,2.7,3,2,4,2.7,3.361,FEMALE
139,4.08,730,730,3,2.4,0,4,2,3.4,2,2.7,3.154,MALE
140,3.79,570,640,3,0,3.7,3.7,2.4,3.7,4,3,3.315,MALE
141,4.15,550,770,3.4,3.7,4,4,3,4,4,3.4,3.606,FEMALE
142,4.54,600,790,3,2.7,2.7,2.7,2.7,3,3.4,2.4,3.061,MALE
143,4.54,600,790,3,2.7,2.7,2.7,2.7,3,3.4,2.4,3.061,MALE
144,4.44,680,700,4,3.7,3.7,4,4,4,3.7,3.7,3.877,FEMALE
145,4.19,700,730,3.7,2.7,3,3.4,4,3,4,4,3.633,MALE
146,4.2,510,580,3.4,2.4,4,3.7,4,3,3,3,3.484,FEMALE
147,4.4,660,650,3.7,3.4,3.7,3,4,2.7,2.4,3,3.455,MALE
148,4.42,630,700,4,3.7,3.4,3.7,3,2.4,4,4,3.7,FEMALE
149,5,700,690,3.4,3,4,4,4,3.4,4,4,3.829,MALE
150,4.34,600,630,3,3,2.4,2.4,2,1.7,2,2.7,2.683,MALE
151,4.41,640,800,3.4,3.4,3.7,4,3,3,3,3.4,3.596,FEMALE
152,4.47,800,770,3.4,3.7,3.4,3,4,3.4,3.4,3.7,3.763,FEMALE
153,4.2,710,800,4,2.7,3.4,3.4,2,2,3,3,3.14,MALE
154,4.1,450,690,3.7,3.4,3,4,3.4,3.4,3,3.7,3.672,MALE
155,4.38,740,800,3.4,2.7,3.4,3.4,2.4,3,2.7,4,3.252,FEMALE
156,4.27,620,760,3,2.7,3,4,2,2,2.7,3,3.059,FEMALE
157,4.37,800,800,3.7,3.7,4,4,4,3.4,4,3.4,3.748,FEMALE
158,4.59,630,620,4,3.4,4,4,4,4,4,4,3.94,MALE
159,4.05,450,610,2,2.7,2.4,3,2,2.7,2.4,2.4,2.995,FEMALE
160,4.5,690,760,3.4,2.7,4,4,3.7,3.4,2,3.7,3.724,FEMALE
161,4.58,740,700,3,3.7,2.4,3.4,2.4,2,4,3.7,3.372,FEMALE
162,4.58,740,700,3,3.7,2.4,3.4,2.4,2,4,3.7,3.372,FEMALE
163,4.27,670,690,3,2.4,3,2,2,1.4,3,3,3.205,FEMALE
164,4.43,730,700,4,4,4,3.4,3.4,4,3,3,3.697,FEMALE
165,4.2,590,620,4,3.4,3.7,3.7,4,3.7,4,3.7,3.79,MALE
166,4.04,480,690,3.7,4,4,4,3,4,4,4,3.747,FEMALE
167,4.73,740,790,3.4,4,4,3.4,3,3.4,3.7,2.7,3.519,FEMALE
168,4.52,530,670,4,2.7,4,3,1,2,2.7,2.7,3.369,MALE
169,3.64,630,650,2.4,2,2.4,2.4,1.4,2.4,3,2,2.602,FEMALE
170,4.8,680,800,3.7,3.4,4,3.7,2.4,3,3.4,2.7,3.343,FEMALE
171,4.08,480,520,1.7,2,3.7,2.7,2,2.4,0,2.4,2.701,MALE
172,4.34,590,680,4,3.7,4,4,3,3.4,3.7,3.4,3.635,MALE
173,4.4,400,520,3,3.4,3.7,4,3,4,2.7,3,3.601,MALE
174,4.31,580,630,3.4,4,4,3.4,3,3,3.7,3,3.669,FEMALE
175,4.31,580,630,3.4,4,4,3.4,3,3,3.7,3,3.669,FEMALE
176,4.38,780,720,4,3.4,3.4,4,3.4,3.7,3.4,3,3.766,FEMALE
177,4.42,770,620,3.4,3.4,4,3,2.4,2.7,1,2.7,3.087,MALE
178,4.66,580,800,3,3.7,3.4,3.4,2,3.4,3,2.7,3.407,MALE
179,4.45,800,770,4,4,4,4,4,4,4,4,3.948,FEMALE
180,4.18,570,670,3,3,2.7,3,2,3.4,3.7,2.7,3.196,FEMALE
181,4.21,610,790,4,4,4,4,3.7,3.7,3.7,3,3.794,FEMALE
182,4.46,660,790,3.4,3.7,3.7,3.4,3.7,3.7,3.7,4,3.767,MALE
183,4.04,700,710,3.4,3.4,3.7,2,2.4,2.4,1.7,2.7,3.092,MALE
184,4.38,600,650,4,4,4,4,4,3.4,4,3,3.772,FEMALE
185,4.45,640,660,3.4,4,2.7,3.4,3,2.7,3,3,3.418,MALE
186,4.41,680,730,4,4,4,4,3.4,3,3.7,4,3.868,MALE
187,4.5,730,650,3,3.7,3.4,2.4,2,2,2,2.7,3.276,FEMALE
188,4.81,630,710,4,4,4,3.4,4,0,3.4,4,3.965,FEMALE
189,4.5,600,710,3.7,3.7,4,4,3,3.7,4,3.4,3.82,MALE
190,4.56,700,710,4,4,4,4,4,3.7,3.7,3.4,3.807,MALE
191,4.74,670,740,4,4,3.4,3,3.4,0,3.7,3.4,3.662,MALE
192,4.39,680,660,2.7,4,4,2.4,3,2,3.7,3.7,3.386,FEMALE
193,4.45,710,730,4,3.4,2.4,3.7,3.4,3,3.4,3,3.656,FEMALE
194,4.34,700,780,2.7,3.4,4,4,2,3.7,2,3.4,3.282,FEMALE
195,4.27,590,720,4,4,3.4,4,4,3,3.4,4,3.836,MALE
196,4.15,650,720,1.7,4,3,2.4,1.4,2.4,2.7,2.7,3.094,FEMALE
197,4.42,620,590,2.4,3,1,2,0,1.7,1,1.7,2.423,MALE
198,4.13,610,710,3,3,3.7,3.7,2.4,2.4,3,3,3.086,MALE
199,4.33,570,720,3,4,3,3.7,3.4,3,2.7,3,3.393,FEMALE
200,4.22,620,720,3.7,3,2,2.4,3,3.4,1.7,3,3.435,MALE
201,3.81,580,670,4,4,4,4,4,3.4,4,4,3.879,FEMALE
202,4.73,650,690,3.7,4,3.7,4,4,3.7,3.7,3.7,3.711,FEMALE
203,4.77,630,790,4,4,4,4,4,4,4,4,3.987,MALE
204,4.33,550,670,3,4,4,3.7,3.4,4,4,4,3.793,FEMALE
205,4.3,520,550,3.7,4,3,3,2.4,3,3.4,3.4,3.525,FEMALE
206,4.5,700,710,2.7,3.7,4,4,3.4,3,3,3,3.654,FEMALE
207,4.25,540,670,3,2,2.7,2.4,1.7,2.4,3,2,2.718,MALE
208,4.66,750,780,4,4,4,4,4,4,4,4,3.961,MALE
209,4.22,640,780,4,3.7,2.7,3.7,4,3,2,4,3.756,MALE
210,4.3,540,640,2,3,2.4,3,0,1.7,2.4,2,2.63,FEMALE
211,4.33,510,750,3,4,3.4,3,2,3,3.4,2.7,2.993,MALE
212,4.59,690,700,2.4,3,2,2.7,3,2.4,1,1.7,3.202,FEMALE
213,4.59,690,700,2.4,3,2,2.7,3,2.4,1,1.7,3.202,FEMALE
214,4.27,620,690,3.4,4,4,4,3,3.7,0,2.7,3.739,FEMALE
215,4,610,460,2.4,2.4,3.4,2,2,1.7,1,2.4,3.076,MALE
216,4.3,690,710,3.4,4,4,3.4,2.4,3,3.7,3.4,3.565,FEMALE
217,3.96,580,590,2,3,4,2,2,2.4,2,2.7,2.776,FEMALE
218,4.34,690,780,4,4,4,4,4,3.4,4,4,3.941,FEMALE
219,4.34,690,780,4,4,4,4,4,3.4,4,4,3.941,FEMALE
220,4.15,500,520,1.7,4,4,2.7,0.7,1.4,2.7,0,2.465,MALE
221,4.31,620,620,2.7,3.4,2.4,2.7,2.4,3,2,3.4,3.418,FEMALE
222,4.54,580,690,3,3,2.4,3.7,2.4,3.4,3.4,3,3.409,MALE
223,4.59,700,690,3.7,3,2.7,3.7,3,2.7,2.7,3.7,3.331,FEMALE
224,3.96,350,490,2.4,2.4,3.4,3,2.4,1.7,2.7,2.4,3.01,FEMALE
225,4.31,520,620,2,3,3,2.7,1.7,2.4,1.4,2.4,2.79,FEMALE
226,4.13,590,620,3.4,3,4,4,3,3,3,2.7,3.481,FEMALE
227,4.3,680,710,4,4,3,3.4,3.4,2.4,2.4,3,3.51,FEMALE
228,4.5,750,780,4,4,4,4,4,4,4,4,4,FEMALE
229,4.37,660,730,3,4,3,3.4,3,2.4,3,3.4,3.277,FEMALE
230,4.47,770,760,4,4,4,4,4,4,3.7,4,3.985,FEMALE
231,4.36,730,760,4,4,4,4,4,4,3.7,4,3.984,FEMALE
232,4.45,630,720,3.7,4,3.4,3.4,4,2.4,2.7,3.4,3.598,FEMALE
233,4.29,570,660,1.7,3,2.4,3,2,2,2.7,2.7,2.824,MALE
234,3.96,600,780,2.4,4,4,3.4,2.4,3.4,3.7,3,3.505,FEMALE
235,4.42,760,780,3,3.7,3.4,2.7,2.7,2.4,3.7,3.7,3.427,MALE
236,4.03,420,740,3,4,4,4,3.7,3,4,3.7,3.743,FEMALE
237,4.31,550,570,2.7,3.4,2.7,1.7,2,2.7,2.4,2.7,2.951,FEMALE
238,4.59,520,590,2.7,4,3,2,3,2.7,2.7,2.7,3.283,FEMALE
239,4.65,800,800,4,4,4,4,4,4,4,3.7,3.812,FEMALE
240,4.08,600,580,3.4,3.7,4,2.7,3.7,3.4,3.4,4,3.744,FEMALE
241,4.36,600,760,4,3.7,3.7,3.4,4,0,4,4,3.911,MALE
242,4.4,660,590,3.4,3,1.7,2,3,2.4,2.4,2.4,3.068,FEMALE
243,4.4,610,740,3.4,4,4,3.7,3,3,3.4,3.7,3.209,FEMALE
244,4.36,700,720,3.4,4,3,3,2,3.7,3.4,4,3.643,FEMALE
245,4.28,490,700,3,3,3,3,2.4,2.7,2,2.7,3.271,MALE
246,4.65,720,710,3.7,3.4,3,3.4,3.4,4,3.4,3,3.447,FEMALE
247,4.53,570,640,3,4,3,3.4,2.7,3.7,3,3.4,3.465,MALE
248,4.36,720,620,4,4,4,3.7,4,4,3.4,3,3.712,FEMALE
249,4.54,550,560,2.7,4,2.4,4,3.4,3,3,4,3.588,FEMALE
250,4.45,690,770,4,3.4,2.7,4,3.4,3,3,3.7,3.698,FEMALE
251,4.23,630,720,4,4,3,4,4,4,3.7,4,3.925,MALE
252,4.44,680,720,3.7,4,3.7,3.4,2,3,3.4,3.4,3.55,MALE
253,4.65,640,730,3.7,4,4,4,3,3.7,3.4,4,3.735,MALE
254,4.5,650,690,2,3,2.7,1.7,2,1.7,2.4,2.4,2.647,FEMALE
255,3.56,510,660,1,3,2.7,2.7,1.4,2,1.7,3.4,2.653,MALE
256,4.35,630,730,3,3,3,3.4,3.4,3.4,3,4,3.456,MALE
257,3.66,660,690,2.7,3,2,2.7,3,2.4,2.4,3,3.09,MALE
258,3.66,660,690,2.7,3,2,2.7,3,2.4,2.4,3,3.09,MALE
259,4.13,520,630,3,3,3.4,3.7,2,3,2.7,3,3.266,FEMALE
260,4.45,550,640,3.4,4,3.7,3,2,3.4,3.4,3,3.591,MALE
261,4.35,690,730,3.7,4,4,4,3,3,3.4,3.7,3.819,FEMALE
262,4.31,550,510,3.4,3,1.7,2.7,3.7,3,2.4,2.7,3.445,FEMALE
263,4.13,490,500,2.4,3.4,3,3,2,2.7,2.7,2.4,3.079,FEMALE
264,4.18,590,720,2.4,3,2.4,1.7,4,3,1,3,3.517,FEMALE
265,4.36,620,580,2.7,2,1,2,2.4,1.7,1.7,1.7,2.555,FEMALE
266,4.42,690,680,3,4,3,3.7,2.7,3,3.7,4,3.484,FEMALE
267,4.33,690,760,3,3.7,3.7,1.7,1.7,1.7,2.7,2,2.548,FEMALE
268,4.6,690,690,2.7,3,3.4,2.7,2,1.7,1,3.4,3.14,FEMALE
269,4.36,700,800,3.7,4,4,4,3,4,4,4,3.702,FEMALE
270,4.38,620,620,3.4,3,2.4,2.4,3,2,2.7,2,3.231,FEMALE
271,4.4,550,650,3,4,3,3.4,3,4,2.7,3,3.462,MALE
272,4.05,560,760,2.7,3.7,3.4,3.4,3,3.7,3,3.4,3.463,MALE
273,4.44,620,690,4,4,4,4,3,4,4,3.7,3.635,FEMALE
274,4.66,780,750,3,3.4,3.4,3.7,2.4,2.7,3.4,3.7,3.471,FEMALE
275,4.37,690,670,3.7,3,3.7,4,3,4,3,4,3.636,MALE
276,4.36,660,750,3.7,4,4,3.4,4,3,3,3.4,3.671,FEMALE
277,3.42,650,660,2.7,3.7,2,2.4,1,2.4,2,2,2.88,FEMALE
278,4.7,750,800,4,4,2.7,4,4,3,3.4,4,3.775,MALE
279,4.61,680,670,3.7,3.7,3.7,4,3.4,3.7,4,4,3.86,FEMALE
280,4.04,590,650,2,3,1.7,3,1.7,2.7,2,3,2.997,MALE
281,4.22,490,660,3.4,4,4,3.7,0,3,3.4,3.4,3.567,MALE
282,4.06,380,670,0,3,2.4,2,1.4,2,2.4,2,2.476,MALE
283,4.04,660,710,4,4,3,4,4,4,3.4,3.4,3.868,MALE
284,4.5,660,700,4,4,3.7,4,4,3,4,3.7,3.861,MALE
285,4.58,680,700,4,4,2.7,4,3.4,2.4,2,4,3.545,FEMALE
286,4.34,680,730,3.7,3,3,2,1.7,2.4,1.7,1.7,2.529,FEMALE
287,4.2,590,640,2.7,3.7,4,3.7,2,2,3.4,3,3.448,FEMALE
288,4.52,640,800,3.4,4,3.7,4,4,3.7,3.4,4,3.789,MALE
289,4.52,640,800,3.4,4,3.7,4,4,3.7,3.4,4,3.789,MALE
290,4.36,600,710,3,3,2.7,2.7,3,2.4,3,2.7,3.201,FEMALE
291,4.41,610,710,2.7,3.4,2,2.7,2,2.7,3,2.7,3.018,MALE
292,4.09,700,680,3.7,4,3,3.4,3.7,4,3.4,3,3.668,MALE
293,4.04,450,550,2.4,2,2,1.7,1.7,1,1,2.4,2.814,MALE
294,4.38,780,700,3,3,2,2.7,2.4,2.7,3,3,3.175,FEMALE
295,4.29,730,750,2.7,3.4,3,2.7,2,3.7,2.7,4,3.149,MALE
296,4.08,670,580,3,3,2.4,2.4,3,2,1.4,2.4,3.19,FEMALE
297,4.4,640,680,3,3,3.7,2.7,2.7,3,3,3,3.468,MALE
298,4.33,590,670,3.4,3.7,3,2.7,2,2,2.4,2,3.232,FEMALE
299,4.4,690,720,2.4,3,3.7,2.7,1.4,2,2.7,3,2.584,FEMALE
300,4.25,750,750,3.7,4,4,3.4,3.4,3,3.4,3.7,3.458,MALE
301,4.04,650,800,4,3.7,2.7,3,3,3,3,3.4,3.445,MALE
302,4.25,630,690,2.4,3,2.7,2,2.4,2,2,2,2.972,FEMALE
303,4.38,570,690,2.7,3.4,3.4,3.7,2.7,3,3,2.7,3.22,FEMALE
304,4.56,760,670,3.4,3.7,4,3,3,3,3,2.7,3.605,FEMALE
305,4.16,520,660,3.4,4,3,3.7,3,2.7,3.4,3.4,3.466,FEMALE
306,4.08,730,750,3,4,3,2.7,3,3.4,3,3.4,3.108,FEMALE
307,4.33,670,770,3.4,3.7,3,3.7,3.4,2.4,2,3.7,3.312,FEMALE
308,4.59,660,750,2.7,3.7,3.4,3,1.4,2.4,2.4,2,2.652,MALE
309,4.69,620,720,3.7,3,2.7,3,3.7,4,3.4,3.4,3.502,MALE
310,4.09,430,640,3.4,4,4,3,2.7,4,3.7,3,3.369,FEMALE
311,4.45,750,770,3.4,3.7,3.7,3.4,2.7,3,3,3,3.398,MALE
312,4.2,640,600,2.7,2.4,1.7,2.7,2,2,2,3,2.837,FEMALE
313,4.4,500,660,2.7,3.4,3,2.7,2.4,2.4,3,2.4,3.131,FEMALE
314,4.23,610,780,4,4,4,4,4,4,3.7,4,3.89,MALE
315,4.39,480,500,2.7,2.7,3.4,2.7,2,2,2.7,2,3.092,FEMALE
316,3.9,610,640,3,3,2.7,4,2.4,3,3,3.4,3.463,FEMALE
317,4.37,690,740,3.4,3,3,3.7,2.4,3,3.4,3.4,3.477,MALE
318,4.53,680,710,3,4,3.7,2.7,2,3.4,3,2.7,3.235,FEMALE
319,4.17,490,530,3,3.4,2.7,2,2.4,3,3.4,2.7,3.402,FEMALE
320,4.17,490,530,3,3.4,2.7,2,2.4,3,3.4,2.7,3.402,FEMALE
321,4.33,670,710,3.7,4,3,3.4,4,3.4,3.4,3.7,3.666,MALE
322,4.36,500,620,3.4,4,4,3.4,3,2.4,4,4,3.706,FEMALE
323,4.08,750,760,3.4,4,2.4,4,4,3,3,3,3.546,FEMALE
324,4.39,540,630,3,3.7,3.4,3,2,3,2.7,2,3.277,MALE
325,4.23,650,780,3.4,3,3,3,2.7,3,3,3,3.471,FEMALE
